wav,seg_idx,start,end,duration
./chunk_7_deepak/chunk_7.wav,77,23.868,23.895,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,78,23.895,24.246,0.3509999999999991
./chunk_7_deepak/chunk_7.wav,79,24.246,24.273,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,80,24.273,24.597,0.3240000000000016
./chunk_7_deepak/chunk_7.wav,81,24.597,24.705,0.10799999999999699
./chunk_7_deepak/chunk_7.wav,82,24.705,24.732,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,83,24.732,24.867,0.13500000000000156
./chunk_7_deepak/chunk_7.wav,84,24.867,24.894,0.02699999999999747
./chunk_7_deepak/chunk_7.wav,85,24.894,25.11,0.21600000000000108
./chunk_7_deepak/chunk_7.wav,86,25.11,25.137,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,87,25.137,26.028,0.8909999999999982
./chunk_7_deepak/chunk_7.wav,88,26.028,26.244,0.21600000000000108
./chunk_7_deepak/chunk_7.wav,89,26.244,26.487,0.24299999999999855
./chunk_7_deepak/chunk_7.wav,90,26.487,26.838,0.35100000000000264
./chunk_7_deepak/chunk_7.wav,91,26.838,26.945999999999998,0.10799999999999699
./chunk_7_deepak/chunk_7.wav,92,26.945999999999998,27.108,0.1620000000000026
./chunk_7_deepak/chunk_7.wav,93,27.108,28.404,1.2959999999999994
./chunk_7_deepak/chunk_7.wav,94,28.404,28.512,0.10800000000000054
./chunk_7_deepak/chunk_7.wav,95,28.512,28.809,0.2970000000000006
./chunk_7_deepak/chunk_7.wav,96,28.809,29.105999999999998,0.29699999999999704
./chunk_7_deepak/chunk_7.wav,97,29.105999999999998,29.133,0.027000000000001023
./chunk_7_deepak/chunk_7.wav,98,29.133,29.187,0.054000000000002046
./chunk_7_deepak/chunk_7.wav,99,29.187,29.241,0.053999999999998494
./chunk_7_deepak/chunk_7.wav,100,29.241,29.97,0.7289999999999992
./chunk_0_Tanya/chunk_0.wav,1,1.674,2.214,0.54
./chunk_0_Tanya/chunk_0.wav,2,2.214,2.241,0.027000000000000135
./chunk_0_Tanya/chunk_0.wav,3,2.241,2.403,0.16199999999999992
